,name,latitude,longitude
181,palau,7.51498,134.58252
182,paraguay,-23.442503,-58.443832
183,qatar,25.354826,51.183884
184,réunion,-21.115141,55.536384
185,romania,45.943161,24.96676
186,serbia,44.016521,21.005859
187,russia,61.52401,105.318756
188,rwanda,-1.940278,29.873888
189,saudi arabia,23.885942,45.079162
190,solomon islands,-9.64571,160.156194
191,seychelles,-4.679574,55.491977
192,sudan,12.862807,30.217636
193,sweden,60.128161,18.643501
194,singapore,1.352083,103.819836
195,saint helena,-24.143474,-10.030696
196,slovenia,46.151241,14.995463
197,svalbard and jan mayen,77.553604,23.670272
198,slovakia,48.669026,19.699024
199,sierra leone,8.460555,-11.779889
200,san marino,43.94236,12.457777
201,senegal,14.497401,-14.452362
202,somalia,5.152149,46.199616
203,suriname,3.919305,-56.027783
204,são tomé and príncipe,0.18636,6.613081
205,el salvador,13.794185,-88.89653
206,syria,34.802075,38.996815
207,swaziland,-26.522503,31.465866
208,turks and caicos islands,21.694025,-71.797928
209,chad,15.454166,18.732207
210,french southern territories,-49.280366,69.348557
211,togo,8.619543,0.824782
212,thailand,15.870032,100.992541
213,tajikistan,38.861034,71.276093
214,tokelau,-8.967363,-171.855881
215,timor-leste,-8.874217,125.727539
216,turkmenistan,38.969719,59.556278
217,tunisia,33.886917,9.537499
218,tonga,-21.178986,-175.198242
219,turkey,38.963745,35.243322
220,trinidad and tobago,10.691803,-61.222503
221,tuvalu,-7.109535,177.64933
222,taiwan,23.69781,120.960515
223,tanzania,-6.369028,34.888822
224,ukraine,48.379433,31.16558
225,uganda,1.373333,32.290275
226,u.s. minor outlying islands,nan,nan
227,united states,37.09024,-95.712891
228,uruguay,-32.522779,-55.765835
229,uzbekistan,41.377491,64.585262
230,vatican city,41.902916,12.453389
231,saint vincent and the grenadines,12.984305,-61.287228
232,venezuela,6.42375,-66.58973
233,british virgin islands,18.420695,-64.639968
234,u.s. virgin islands,18.335765,-64.896335
235,vietnam,14.058324,108.277199
236,vanuatu,-15.376706,166.959158
237,wallis and futuna,-13.768752,-177.156097
238,samoa,-13.759029,-172.104629
239,kosovo,42.602636,20.902977
240,yemen,15.552727,48.516388
241,mayotte,-12.8275,45.166244
242,south africa,-30.559482,22.937506
243,zambia,-13.133897,27.849332
244,zimbabwe,-19.015438,29.154857
